Category,category_label,book_name,Location
代管,代管B-173,貓十三,活動室
代管,代管B-174,生蛋快樂,鬱金香
代管,代管B-175,一個屋簷下,活動室
代管,代管B-176,阿嬤的布禮物,活動室
代管,代管B-177,媽媽好菜,活動室
代管,代管B-178,我最討厭醫生了,滿天星
代管,代管B-179,我想要寵物,鬱金香
代管,代管B-180,天啊！大塞車,鬱金香
代管,代管B-181,國王的洗澡水,鬱金香
代管,代管B-182,花奶奶的神秘香料,滿天星
代管,代管B-183,吹笛手與魔法繩,活動室
代管,代管B-184,誰要抱抱,活動室
代管,代管B-185,怪獸花花的甜點店,向日葵
代管,代管B-186,哇！原來有好事,鬱金香
代管,代管B-187,最優秀的豆芽菜,鬱金香
代管,代管B-188,橘子的捲捲頭,向日葵
代管,代管B-189,食飽未,活動室
代管,代管B-190,123到台灣,向日葵
代管,代管B-191,鞋子裡的動物園,向日葵
代管,代管B-192,我只檢一個,向日葵
代管,代管B-193,兔子的紅蘿蔔田,鬱金香
代管,代管B-194,地牛不要動,鬱金香
代管,代管B-195,是誰住在裡面呀？,向日葵
代管,代管B-196,查理長大了,鬱金香
代管,代管B-197,嘟嘟的特別乘客,向日葵
代管,代管B-198,蘿蔔去哪裡？,鬱金香
代管,代管B-199,廚房工具的悄悄話,向日葵
代管,代管B-200,花生什麼事？,向日葵
代管,代管B-201,我真的真的很會畫畫,滿天星
代管,代管B-202,動物狂歡節,滿天星
代管,代管B-203,是誰畫的？,鬱金香
代管,代管B-204,早安動物園,滿天星
代管,代管B-205,不喜歡雨天的小雨蛙,滿天星
代管,代管B-206,巴布的探險,滿天星
代管,代管B-207,美好動物園,滿天星
代管,代管B-208,奇奇的夏天,滿天星
代管,代管B-209,陪我玩,鬱金香
代管,代管B-210,禮物,向日葵
代管,代管B-211,魔術師的帽子,鬱金香
代管,代管B-212,小不點,鬱金香
代管,代管B-213,海龜與海,向日葵
代管,代管B-214,小蛙的夏日快報,向日葵
代管,代管B-215,美好食堂,滿天星
代管,代管B-216,一封邀請函,向日葵
代管,代管B-217,最小的犛牛,向日葵
代管,代管B-218,我會這樣做,滿天星
代管,代管B-219,不會游泳的獅子,向日葵
代管,代管B-220,我可以加入你的俱樂部嗎,鬱金香
代管,代管B-221,永遠都不要,向日葵
代管,代管B-222,那些消失的事,滿天星
代管,代管B-223,貝拉的生氣天,鬱金香
代管,代管B-224,菲力的17種情緒,滿天星
代管,代管B-225,花園鎮的一年,向日葵
代管,代管B-226,馬鈴薯村的可樂餅慶典,滿天星
代管,代管B-227,你以為自己是國王嗎,鬱金香
代管,代管B-228,豬先生和他的小小好朋友,鬱金香
代管,代管B-229,爺爺和翠鳥,向日葵
代管,代管B-230,一個完美的地方,向日葵
代管,代管B-231,娜米和可愛的動物們,向日葵
代管,代管B-232,不是箱子,鬱金香
代管,代管B-233,小紅色紙的拼貼遊戲,滿天星
代管,代管B-234,喀擦喀擦爺爺的恐龍王國,鬱金香
代管,代管B-235,大熊小椅子,活動室
代管,代管B-236,點和線大變身,向日葵
代管,代管B-237,我變成一隻噴火龍了！,向日葵
代管,代管B-238,生氣王子,滿天星
代管,代管B-239,慌張先生,鬱金香
代管,代管B-240,十二生肖的故事,活動室
代管,,節慶大書1＆2  教學活動手冊光碟,活動室
代管,,教學轉個彎節慶大不同,活動室
代管,,戲劇魔法書,活動室
自購,自購B-001,100個聖誕老公公,辦公室
自購,自購B-002,好棒的聖誕夜,辦公室
自購,自購B-003,好忙的除夕,辦公室
自購,自購B-004,"過年
 (迎接農曆新年的節日)",辦公室
自購,自購B-005,10隻小青蛙去海邊,辦公室
自購,自購B-006,10隻小青蛙的運動會,辦公室
自購,自購B-007,10隻小青蛙的金嗓子,辦公室
自購,自購B-008,10隻小青蛙去露營,辦公室
自購,自購B-009,10隻小青蛙的游泳池,辦公室
自購,自購B-010,10隻小青蛙和吉侖山,辦公室
自購,自購B-011,10隻小青蛙,辦公室
自購,自購B-012,10隻小青蛙的禮物,辦公室
自購,自購B-013,10隻小青蛙過年,辦公室
自購,自購B-014,10+1隻小青蛙,辦公室
自購,自購B-015,10隻小青蛙春天來囉!,辦公室
自購,自購B-016,10隻小青蛙冬眠,辦公室
自購,自購B-017,提摩西和莎拉-手工蛋糕比賽,辦公室
自購,自購B-018,提摩西和莎拉的互換遊戲,辦公室
自購,自購B-019,提摩西和莎拉和藏寶圖,辦公室
自購,自購B-020,提摩西和莎拉-來自花店的信,辦公室
自購,自購B-021,提摩西和莎拉的和黛西,辦公室
自購,自購B-022,提摩西和莎拉-感謝的贈禮,辦公室
自購,自購B-023,提摩西和莎拉與森林精靈,辦公室
自購,自購B-024,提摩西和莎拉-小小圖書館,辦公室
自購,自購B-025,提摩西和莎拉的野餐,辦公室
自購,自購B-026,提摩西和莎拉的派對,辦公室
自購,自購B-027,提摩西和莎拉的小小樹屋,辦公室
自購,自購B-028,來自爸爸的禮物,辦公室
自購,自購B-029,生日禮物,辦公室
自購,自購B-030,冬天的贈禮,辦公室
自購,自購B-031,哈囉!新朋友,辦公室
自購,自購B-032,波波學會合群,辦公室
自購,自購B-033,我不再毛毛躁躁,辦公室
自購,自購B-034,是誰偷走了國王的歡樂?,辦公室
自購,自購B-035,團結合作打獵,辦公室
自購,自購B-036,過馬路停看聽,辦公室
自購,自購B-037,媽媽，你在哪裡,辦公室
自購,自購B-038,我的毛孩不見了,辦公室
自購,自購B-039,不要在牆上寫字,辦公室
自購,自購B-040,生日派對的一天,辦公室
自購,自購B-041,我不再咬指甲,辦公室
自購,自購B-042,我會長得高高的,辦公室
自購,自購B-043,我拉肚子了,辦公室
自購,自購B-044,我不怕打預防針,辦公室
自購,自購B-045,我有超強抵抗力,辦公室
自購,自購B-046,我咳嗽了,辦公室
自購,自購B-047,我發燒了,辦公室
自購,自購B-048,我便祕了,辦公室
自購,自購B-049,不近視大作戰,辦公室
自購,自購B-050,我要好好吃飯,辦公室
自購,自購B-051,爸爸我好痛-家庭暴力,辦公室
自購,自購B-052,請不要摸我-防止性騷擾,辦公室
自購,自購B-053,小心危險-居家安全,辦公室
自購,自購B-054,浩浩過來這裡-抵禦誘惑,辦公室
自購,自購B-055,我是虎霸-校園霸凌,辦公室
自購,自購B-056,老師!請不要打我-校園體罰,辦公室
自購,自購B-057,是影子嗎-克服恐懼心理,辦公室
自購,自購B-058,勇敢說不-學會勇敢,辦公室
自購,自購B-059,有人搭訕-防止誘拐,辦公室
自購,自購B-060,不講理-隔代教養,辦公室
自購,自購B-061,哎呀，好可怕(認清恐懼不害怕),辦公室
自購,自購B-062,阿庫巴學噴火(該生氣與不生氣),辦公室
自購,自購B-063,害羞的變色龍(勇敢自信不害羞),辦公室
自購,自購B-064,會說話的小鳥(滿足擁有不忌妒),辦公室
自購,自購B-065,貪吃的小怪獸(一起分享不貪心),辦公室
自購,自購B-066,愛哭的雲朵(想法轉轉不委屈),辦公室
自購,自購B-067,"尼恩長出""說謊角""(誠實面對不說謊)",辦公室
自購,自購B-068,小小布羅克(喜歡自己不自卑),辦公室
自購,自購B-069,"章魚先生有興趣系列
 章魚先生會畫畫",辦公室
自購,自購B-070,"章魚先生有興趣系列
 章魚先生教跳舞",辦公室
自購,自購B-071,章魚先生過生日,辦公室
自購,自購B-072,章魚先生賣雨傘,辦公室
自購,自購B-073,"章魚先生有辦法系列
 章魚先生去拍照",辦公室
自購,自購B-074,"章魚先生有興趣系列
 章魚先生玩音樂",辦公室
自購,自購B-075,"章魚先生有興趣系列
 章魚先生藏哪兒了?",辦公室
自購,自購B-076,"章魚先生有興趣系列
 章魚先生要比賽",辦公室
自購,自購B-077,奶奶逮到了一隻小精怪,辦公室
自購,自購B-078,小狐狸的旅行,辦公室
自購,自購B-079,蘑菇，蘑菇，我能來躲雨嗎?,辦公室
自購,自購B-080,鄂倫春的熊,辦公室
自購,自購B-081,企鵝寄冰,辦公室
自購,自購B-082,最後一張罰單,辦公室
自購,自購B-083,我的啵啵遊樂園,辦公室
自購,自購B-084,妹妹的大南瓜,辦公室
自購,自購B-085,"「衝呀巴士」系列
 我們不要園長開巴士",辦公室
自購,自購B-086,"「衝呀巴士」系列
 我們不要放屁蟲開巴士",辦公室
自購,自購B-087,"「衝呀巴士」系列
 我們不要大蜘蛛開巴士",辦公室
自購,自購B-088,嗚哩哇啦劈里啪啦稀里嘩啦王國的國王,辦公室
自購,自購B-089,不要和糯米糰捉迷藏,辦公室
自購,自購B-090,99顆紅豆去旅行,辦公室
捐贈,捐贈B-001,小廚師,
捐贈,捐贈B-002,小木屋,
捐贈,捐贈B-003,小媽媽,
捐贈,捐贈B-004,花園裡的秘密,
捐贈,捐贈B-005,河岸風光,
捐贈,捐贈B-006,小騎士,
捐贈,捐贈B-007,池塘歷險,
捐贈,捐贈B-008,斑斑的家,
捐贈,捐贈B-009,農場假期,
捐贈,捐贈B-010,化裝舞會,
捐贈,捐贈B-011,全新的生活,
捐贈,捐贈B-012,稻草人,
捐贈,捐贈B-013,季節的衣裳,
捐贈,捐贈B-014,奇怪的鄰居,
捐贈,捐贈B-015,郊外遊蹤,
捐贈,捐贈B-016,動物教室,
捐贈,捐贈B-017,火車旅行,
捐贈,捐贈B-018,小小鳥兒要回家,
捐贈,捐贈B-019,海邊的一天,
捐贈,捐贈B-020,快樂的一天,
捐贈,捐贈B-021,芭蕾舞星,
捐贈,捐贈B-022,美麗的花園,
捐贈,捐贈B-023,生病的時候,
捐贈,捐贈B-024,特別的禮物,
捐贈,捐贈B-025,卡迪與我,
捐贈,捐贈B-026,樓上的遊戲,
捐贈,捐贈B-027,飛行見聞,
捐贈,捐贈B-028,銀色聖誕,
捐贈,捐贈B-029,公園樂趣多,
捐贈,捐贈B-030,學校的一天,
捐贈,捐贈B-031,生日禮物,
捐贈,捐贈B-032,帆船夏令營,
捐贈,捐贈B-033,山中見聞,
捐贈,捐贈B-034,成長的喜悅,
捐贈,捐贈B-035,老爺車大賽,
捐贈,捐贈B-036,美妙的音符,
捐贈,捐贈B-037,橫渡大西洋,
捐贈,捐贈B-038,聖誕禮物,
捐贈,捐贈B-039,千里緝凶,
捐贈,捐贈B-040,小鎮風光,
捐贈,捐贈B-041,母親節,
捐贈,捐贈B-042,飛天熱氣球,
捐贈,捐贈B-043,暑假生活,
捐贈,捐贈B-044,游泳訓練班,
捐贈,捐贈B-045,巴比失蹤了,
捐贈,捐贈B-046,叢林王子,
捐贈,捐贈B-047,花車遊行,
捐贈,捐贈B-048,馬戲團之夢,
捐贈,捐贈B-049,快樂單車遊,
捐贈,捐贈B-050,農家樂,
捐贈,捐贈B-051,神奇魔法,
捐贈,捐贈B-052,河馬叔叔的禮貌,
捐贈,捐贈B-053,包母與凱羅的冬日早晨,
捐贈,捐贈B-054,胖胖豬說故事,
捐贈,捐贈B-055,旺旺狗說故事,
捐贈,捐贈B-056,救難小蜻蜓(中英文對照),
捐贈,捐贈B-057,有趣的叢林動物(中英文對照),
捐贈,捐贈B-058,The Twelve Days of Christmas,
捐贈,捐贈B-059,Whales & Dolphine,
捐贈,捐贈B-060,DINOSAuR VALLEY,
捐贈,捐贈B-061,The Very Lonely Firefly,
捐贈,捐贈B-062,The Full Color Fairytale Book,
捐贈,捐贈B-063,The Honeybee and the Robber,
捐贈,捐贈B-064,The USBORNE BOOK OF WORLD GEOGRAPHY,
捐贈,捐贈B-065,The USBORNE BOOK OF WORLD HISTORY,
捐贈,捐贈B-066,The Magic School Bus 套書*13,
捐贈,捐贈B-067,成功名人一本通(中英對照),
捐贈,捐贈B-068,ㄅㄆㄇ,
捐贈,捐贈B-069,我愛瑪婷CD光碟,
捐贈,捐贈B-070,齊來參加茶會,
捐贈,捐贈B-071,不是我做的!認錯和道歉的故事,
捐贈,捐贈B-072,是誰把驢子變斑馬,
捐贈,捐贈B-073,老虎,
捐贈,捐贈B-074,翻翻書巴布的工具箱,
捐贈,捐贈B-075,幼兒三字經唸謠,
捐贈,捐贈B-076,牛地的神聖任務,
捐贈,捐贈B-077,小刀萬歲,
捐贈,捐贈B-078,小靜想飛,
捐贈,捐贈B-079,依依學慢活,
捐贈,捐贈B-080,阿比的城市冒險,
捐贈,捐贈B-081,動物的家,
捐贈,捐贈B-082,大野狼與七隻小羊,
捐贈,捐贈B-083,流浪貓,
捐贈,捐贈B-084,我們買了冷氣機,
捐贈,捐贈B-085,找不同,
捐贈,捐贈B-086,PET DICTIONARY,
捐贈,捐贈B-087,好玩的花園,
捐贈,捐贈B-088,黑象與白象,
捐贈,捐贈B-089,大排長龍的爺爺義大利麵店,
捐贈,捐贈B-090,小金魚逃走了,
捐贈,捐贈B-091,小白魚的爸爸,
捐贈,捐贈B-092,彩色怪獸去上學,
捐贈,捐贈B-093,天下第一味,
捐贈,捐贈B-094,動物溫泉,
捐贈,捐贈B-095,阿嬤說我最乖,
捐贈,捐贈B-096,身體的秘密,
捐贈,捐贈B-097,小波去上學,
捐贈,捐贈B-098,白白．黑黑和花花,
捐贈,捐贈B-099,自己的顏色,
捐贈,捐贈B-100,汪汪喵喵巴士,
捐贈,捐贈B-101,你的身體是你的,
捐贈,捐贈B-102,你像一顆種子,
捐贈,捐贈B-103,秘密派對,
捐贈,捐贈B-104,酷臉小巴哥勇敢一點!,
捐贈,捐贈B-105,雪橇比賽,
捐贈,捐贈B-106,我是第一名,
捐贈,捐贈B-107,怪獸想搬家,
捐贈,捐贈B-108,爸爸，10多不多,
捐贈,捐贈B-109,怎麼感覺怪怪的?,
捐贈,捐贈B-110,好大的一顆蛋,
捐贈,捐贈B-111,你做得好棒!,
捐贈,捐贈B-112,河馬波波的妖怪麵包派對,
捐贈,捐贈B-113,河馬啵啵的秘密基地,
捐贈,捐贈B-114,河馬啵啵的咖哩派對,
捐贈,捐贈B-115,河馬啵啵的剉冰派對,
捐贈,捐贈B-116,河馬啵啵的音樂派對,
捐贈,捐贈B-117,綿羊學分享,
捐贈,捐贈B-118,動物們!來場比賽吧!,
捐贈,捐贈B-119,超級萬能車的生日願望,
捐贈,捐贈B-120,炒什麼栗子,
捐贈,捐贈B-121,小哈巴狗的刷牙派對,
捐贈,捐贈B-122,小哈巴狗的草莓骨頭,
捐贈,捐贈B-123,肚臍的洞洞,
捐贈,捐贈B-124,啵!啵!啵!海裡有什麼呢,
捐贈,捐贈B-125,我最討厭醫生了,
捐贈,捐贈B-126,大象忘忘,
捐贈,捐贈B-127,麥基先生請假的那一天,
捐贈,捐贈B-128,鱷魚怕怕 牙醫怕怕,
捐贈,捐贈B-129,小黑與櫻花,
捐贈,捐贈B-130,兔子先生去散步,
捐贈,捐贈B-131,有趣的對比,
捐贈,捐贈B-132,咦?大家怎麼都這麼悲傷,
捐贈,捐贈B-133,四季變化,
捐贈,捐贈B-134,動物的家,
捐贈,捐贈B-135,飛、跳、爬.......,
捐贈,捐贈B-136,動物寶寶,
捐贈,捐贈B-137,未來兒童-神奇的蛋(NO.130),
捐贈,捐贈B-138,未來兒童-AI，我的聰明小幫手(NO.131),
捐贈,捐贈B-139,未來兒童-超人的披風為什麼是紅色(NO.132),
捐贈,捐贈B-140,未來兒童-昆蟲大變身(NO.133),
捐贈,捐贈B-141,未來兒童-我想要專心(NO.134),
捐贈,捐贈B-142,未來兒童-奇妙的水(NO.135),
捐贈,捐贈B-143,小圓的魔鏡,
捐贈,捐贈B-144,小圓的魔鏡,
捐贈,捐贈B-145,小圓的魔鏡,
捐贈,捐贈B-146,里諾和小水坑,
捐贈,捐贈B-147,兔子先生的導盲龜,
捐贈,捐贈B-148,健忘的貓頭鷹奶奶,
捐贈,捐贈B-149,夏日午後的發現,
捐贈,捐贈B-150,謝謝，晚安,
捐贈,捐贈B-151,阿嬤躲貓貓,
捐贈,捐贈B-152,子兒，吐吐,
捐贈,捐贈B-153,大排長龍的爺爺義大利麵店,
捐贈,捐贈B-154,環保生活出發,
捐贈,捐贈B-155,威力要回家,
捐贈,捐贈B-156,小豬嘟嘟的營火晚會(燒燙傷),
捐贈,捐贈B-157,環遊世界做蘋果派,
捐贈,捐贈B-158,我的家人-青少年,
捐贈,捐贈B-159,包姆和凱羅的天空之旅,
捐贈,捐贈B-160,包姆和凱羅的星期天,
捐贈,捐贈B-161,包姆和凱羅的冬日早晨,
捐贈,捐贈B-162,包姆和凱羅購物記,
捐贈,捐贈B-163,班班的小樹(安全用藥),
捐贈,捐贈B-164,卡片神秘的貼紙(擦傷),
捐贈,捐贈B-165,超人和雞蛋(安全帽),
